time,edge,old node,current node,probability (value_exp),denominator,expect,true,no.of neighbours
,,,,,,,,,7,"{'2': 0.25, '12': 0.25, '6': 0.25, '8': 0.25}","{'2': 0.25, '12': 0.5, '6': 0.75, '8': 1.0}",0.6231576202917655,2,6
,,,,,,,,,6,"{'1': 0.25, '11': 0.25, '5': 0.25, '7': 0.25}","{'1': 0.25, '11': 0.5, '5': 0.75, '7': 1.0}",0.9890404167295859,3,7
30.0,6to1,6,1,0.25,5.136101666750966,0.0,30.0,4
30.0,6to11,6,11,0.25,5.136101666750966,0.0,30.0,4
30.0,6to5,6,5,0.25,5.136101666750966,0.0,30.0,4
30.0,6to7,6,7,0.25,5.136101666750966,30.0,30.0,4
,,,,,,,,,7,"{'2': 0.25, '12': 0.25, '6': 0.25, '8': 0.25}","{'2': 0.25, '12': 0.5, '6': 0.75, '8': 1.0}",0.8924237553810846,3,8
46.0,7to2,7,2,0.25,5.136101666750966,0.0,46.0,4
46.0,7to12,7,12,0.25,5.136101666750966,0.0,46.0,4
46.0,7to6,7,6,0.25,5.136101666750966,0.0,32.0,4
46.0,7to8,7,8,0.25,5.136101666750966,16.0,16.0,4
,,,,,,,,,8,"{'3': 0.25, '13': 0.25, '7': 0.25, '9': 0.25}","{'3': 0.25, '13': 0.5, '7': 0.75, '9': 1.0}",0.487023260685468,1,13
63.0,8to3,8,3,0.25,5.136101666750966,0.0,63.0,4
63.0,8to13,8,13,0.25,5.136101666750966,63.0,63.0,4
63.0,8to7,8,7,0.25,5.136101666750966,0.0,33.0,4
63.0,8to9,8,9,0.25,5.136101666750966,0.0,17.0,4
,,,,,,,,,13,"{'8': 0.25, '18': 0.25, '12': 0.25, '14': 0.25}","{'8': 0.25, '18': 0.5, '12': 0.75, '14': 1.0}",0.6281553700572751,2,12
80.0,13to8,13,8,0.25,5.136101666750966,0.0,34.0,4
80.0,13to18,13,18,0.25,5.136101666750966,0.0,80.0,4
80.0,13to12,13,12,0.25,5.136101666750966,80.0,80.0,4
80.0,13to14,13,14,0.25,5.136101666750966,0.0,18.0,4
,,,,,,,,,12,"{'7': 0.25, '17': 0.25, '11': 0.25, '13': 0.25}","{'7': 0.25, '17': 0.5, '11': 0.75, '13': 1.0}",0.3415037262375433,1,17
96.0,12to7,12,7,0.25,5.136101666750966,0.0,66.0,4
96.0,12to17,12,17,0.25,5.136101666750966,96.0,96.0,4
96.0,12to11,12,11,0.25,5.136101666750966,0.0,96.0,4
96.0,12to13,12,13,0.25,5.136101666750966,0.0,33.0,4
