time,edge,old node,current node,probability (value_exp),denominator,expect,true,no.of neighbours
30,9to8,9,8,0.333333333333333,4.18683727525827,30,30,3
62,9to8,9,8,0.333333333333333,4.18683727525827,30,16,3
93,9to8,9,8,0.384055932638268,4.53162064232197,38.5,47,3
159,9to8,9,8,0.356984702587323,4.87526714600347,38.5,35,3
193,9to8,9,8,0.356984702587323,4.87526714600347,38.5,69,3
252,9to8,9,8,0.419740517566644,4.14636119057405,38.5,12,3
284,9to8,9,8,0.362333632797541,4.80329628445578,38.5,12,3
877,9to8,9,8,0.343816843674553,4.66775238404151,37,34,3
909,9to8,9,8,0.504976152368259,3.17807461641311,37,32,3
1108,9to8,9,8,0.489460636632632,3.08149153142878,36.25,34,3
1301,9to8,9,8,0.282876014379319,5.33190772664345,36.25,31,3
2306,9to8,9,8,0.426578439117836,3.53573614707367,36.25,33,3
2341,9to8,9,8,0.379070512717965,3.97886080860469,36.25,18,3
2373,9to8,9,8,0.445411616669163,3.3862359002448,36.25,50,3
2691,9to8,9,8,0.778102076081881,8.46320263089337,57.4,142,3
2792,9to8,9,8,0.761326480224766,7.86835127441929,56.3333333333333,51,3
3277,9to8,9,8,0.678751817280336,5.84584503356523,52.7142857142857,31,3
3899,9to8,9,8,0.788657599670259,5.03117948997209,52.7142857142857,34,3
3998,9to8,9,8,0.793943179361614,4.99768502736188,52.7142857142857,32,3
4062,9to8,9,8,0.880846714237825,8.64270826190815,58.125,96,3
4126,9to8,9,8,0.829197394360532,6.02922352053564,55.2222222222222,32,3
4158,9to8,9,8,0.68507382507393,3.26999522199768,50.7,10,3
4225,9to8,9,8,0.61049908551353,2.64391442738455,49.0909090909091,33,3
4294,9to8,9,8,0.691899885502317,3.34244305286683,50.75,69,3
4388,9to8,9,8,0.733060998821235,3.85783674451007,51.6153846153846,62,3
4456,9to8,9,8,0.785571659940669,4.80256987954724,52.7857142857143,68,3
4780,9to8,9,8,0.979813934810957,51.0157416834876,64.7333333333333,232,3
4845,9to8,9,8,0.979890158711137,51.2091106288636,64.75,65,3
4945,9to8,9,8,0.987662651201809,83.4706957009463,66.8235294117647,100,3
4976,9to8,9,8,0.979384056839069,49.9519754808894,64.8333333333333,31,3
5076,9to8,9,8,0.987388624878077,81.6570022962918,66.6842105263158,100,3
5210,9to8,9,8,0.994899909503565,201.919375354228,70.05,134,3
