time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours
147,gneE8,gneJ10,gneJ11,0.5,0,147,147,0,2
233,gneE8,gneJ10,gneJ11,0.385933278113783,-0.464439089914137,147,43,104,2
80161,gneE8,gneJ10,gneJ11,0.112592216892295,0.672935641193949,43,72477,-72434,2
319,-gneE11,gneJ10,gneJ14,0.5,-0.464439089914137,319,215,104,2
362,-gneE11,gneJ10,gneJ14,0.378536643132772,-0.960203160304082,215,43,172,2
16200,-gneE11,gneJ10,gneJ14,0.611704802193595,-0.009955142562374,43,42,1,2
32396,-gneE11,gneJ10,gneJ14,0.860270357768885,1.35309819076931,42,44,-2,2
55594,-gneE11,gneJ10,gneJ14,0.96090596852913,2.73746765920884,40.35392,44,-3.64607999999999,2
80203,-gneE11,gneJ10,gneJ14,0.968838863625897,4.10986225850943,56.07488,83,-26.92512,2
83622,-gneE11,gneJ10,gneJ14,0.984955708385361,4.85453369071269,49.53856,43,6.53856,2
210,-gneE8,gneJ11,gneJ10,0.381583760826194,-0.48283137373023,210,85,125,2
299,-gneE8,gneJ11,gneJ10,0.546969872812553,-0.295918800245218,85,89,-4,2
80183,-gneE8,gneJ11,gneJ10,0.523251128855887,-0.391282252766862,89,42,47,2
167,gneE9,gneJ11,gneJ12,0.5,0,167,167,0,2
255,gneE9,gneJ11,gneJ12,0.49961936980081,-0.4843538948211,167,88,79,2
190,-gneE9,gneJ12,gneJ11,1,-0.499043258677874,190,43,147,1
278,-gneE9,gneJ12,gneJ11,1,-0.425693195258464,43,45,-2,1
125,gneE11,gneJ14,gneJ10,0.571760401300871,0,125,125,0,2
341,gneE11,gneJ14,gneJ10,0.450916437580591,-0.486005774321503,125,42,83,2
16179,gneE11,gneJ14,gneJ10,0.00018978921886,0.422463875526269,42,8475,-8433,2
32373,gneE11,gneJ14,gneJ10,4.40217967658626E-06,1.2744157595252,8475,16194,-7719,2
55572,gneE11,gneJ14,gneJ10,3.71882993166148E-06,2.13278672654461,17913.71328,23199,-5285.28672,2
80141,gneE11,gneJ14,gneJ10,3.55639648449879E-06,1.31466604126362,14108.5216,8404,5704.5216,2
83599,gneE11,gneJ14,gneJ10,1.45547470142635E-06,0.701184619444301,9567.90656,3416,6151.90656,2
41,-gneE10,gneJ14,gneJ7,0.428239598699129,-0.289037175789616,41,23,18,2
383,-gneE10,gneJ14,gneJ7,0.681156123670523,0.273084194957239,23,298,-275,2
426,-gneE10,gneJ14,gneJ7,0.532685429817555,-0.35507734106948,298,10,288,2
641,-gneE10,gneJ14,gneJ7,0.625385476952074,0.02646488967762,10,43,-33,2
1354,-gneE10,gneJ14,gneJ7,0.606425694229656,-0.053693452132488,50.02432,43,7.02432,2
2060,-gneE10,gneJ14,gneJ7,0.695050347659488,0.337831822607221,38.3456,44,-5.6544,2
2103,-gneE10,gneJ14,gneJ7,0.753287969137394,0.63022001998094,39.89632,43,-3.10368,2
2585,-gneE10,gneJ14,gneJ7,0.800034537201745,0.900504458289375,39.80032,43,-3.19968,2
3330,-gneE10,gneJ14,gneJ7,0.805377378911934,0.934242779901847,31.34272,22,9.34272,2
3595,-gneE10,gneJ14,gneJ7,0.871420980033553,1.4275757586003,34.66816,43,-8.33184,2
4604,-gneE10,gneJ14,gneJ7,0.9202074745349,1.95916355187756,37.03232,44,-6.96768,2
4690,-gneE10,gneJ14,gneJ7,0.949004122592742,2.43766257411789,38.08192,43,-4.91808,2
4865,-gneE10,gneJ14,gneJ7,0.965637500392848,2.84981688901256,39.11168,44,-4.88831999999999,2
5212,-gneE10,gneJ14,gneJ7,0.976144409861545,3.22558618484365,39.98272,43,-3.01727999999999,2
5257,-gneE10,gneJ14,gneJ7,0.983476606161737,3.60031089176749,40.65216,45,-4.34784,2
8111,-gneE10,gneJ14,gneJ7,0.990203048450905,4.12983297635603,40.22272,43,-2.77727999999999,2
