time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours
618,gneE8,gneJ10,gneJ11,0.5,0,39,39,0,2
699,gneE8,gneJ10,gneJ11,0.5,0,74,74,0,2
779,gneE8,gneJ10,gneJ11,0.5,0,80,80,0,2
817,gneE8,gneJ10,gneJ11,0.5,0,38,38,0,2
1382,gneE8,gneJ10,gneJ11,0.667209608801645,0.49621439652711,299.10016,442,-142.89984,2
1461,gneE8,gneJ10,gneJ11,0.445540113616144,0.006580289282708,208.7584,79,129.7584,2
9785,gneE8,gneJ10,gneJ11,0.023340818121291,-0.217169660915385,185.96672,158,27.96672,2
13729,gneE8,gneJ10,gneJ11,0.010175676398216,0.360113616015485,259.99808,374,-114.00192,2
15417,gneE8,gneJ10,gneJ11,0.003870960770605,0.116532533179565,161.85088,49,112.85088,2
15460,gneE8,gneJ10,gneJ11,0.003688075782904,0.067951070976577,100.56256,43,57.56256,2
16828,gneE8,gneJ10,gneJ11,0.004999458250419,0.842221640093337,251.48032,484,-232.51968,2
19525,gneE8,gneJ10,gneJ11,0.002440651372095,0.758662970590692,149.17376,8,141.17376,2
58,-gneE11,gneJ10,gneJ14,0.5,0,40,40,0,2
658,-gneE11,gneJ10,gneJ14,0.5,0,79,79,0,2
740,-gneE11,gneJ10,gneJ14,0.5,0,72,72,0,2
979,-gneE11,gneJ10,gneJ14,0.5,0,12,12,0,2
1019,-gneE11,gneJ10,gneJ14,0.450320205303296,-0.19937702016571,17.16416,8,9.16416,2
1420,-gneE11,gneJ10,gneJ14,0.432679549318401,0.225287466853118,38.24128,76,-37.75872,2
1502,-gneE11,gneJ10,gneJ14,0.508386394511983,0.040129013614552,26.70528,15,11.70528,2
2035,-gneE11,gneJ10,gneJ14,0.560557247614355,0.250004210860369,25.64992,25,0.649920000000005,2
2648,-gneE11,gneJ10,gneJ14,0.582527681254583,0.339738755373928,23.54112,21,2.54112,2
3220,-gneE11,gneJ10,gneJ14,0.612743562878946,0.46543970452982,21.07584,18,3.07584,2
3919,-gneE11,gneJ10,gneJ14,0.687436440955077,0.794741827590342,16.2816,15,1.2816,2
4524,-gneE11,gneJ10,gneJ14,0.741758795016736,1.06171035429274,12.9024,9,3.9024,2
4568,-gneE11,gneJ10,gneJ14,0.789920824278995,1.33102852038608,10.16384,8,2.16384,2
4803,-gneE11,gneJ10,gneJ14,0.839030374644748,1.65761151368949,15.44512,25,-9.55488,2
5047,-gneE11,gneJ10,gneJ14,0.834402778980235,1.62373806294821,12.7072,10,2.7072,2
5854,-gneE11,gneJ10,gneJ14,0.875154698363951,1.95390557419602,15.95776,22,-6.04224,2
6301,-gneE11,gneJ10,gneJ14,0.911135859098396,2.33416361054487,23.29472,35,-11.70528,2
7517,-gneE11,gneJ10,gneJ14,0.925012709810879,2.51906913200623,16.928,8,8.928,2
7915,-gneE11,gneJ10,gneJ14,0.93569612709058,2.68425120120316,11.3792,5,6.3792,2
8488,-gneE11,gneJ10,gneJ14,0.956825915464976,3.10496133745505,10.11648,9,1.11648,2
9468,-gneE11,gneJ10,gneJ14,0.97097615341108,3.51676441022265,11.3856,15,-3.6144,2
9824,-gneE11,gneJ10,gneJ14,0.984521044816928,3.93550424183245,15.34272,24,-8.65728,2
10106,-gneE11,gneJ10,gneJ14,0.986594453486604,4.08142086579606,11.7568,7,4.7568,2
10870,-gneE11,gneJ10,gneJ14,0.990722480268043,4.4536705532915,18.09856,28,-9.90144,2
11328,-gneE11,gneJ10,gneJ14,0.990871523759711,4.47001643722023,13.3792,7,6.3792,2
13036,-gneE11,gneJ10,gneJ14,0.994261546496861,4.93764088688822,22.36096,37,-14.63904,2
13769,-gneE11,gneJ10,gneJ14,0.992665418896557,5.26790698291675,20.27008,19,1.27008000000001,2
14251,-gneE11,gneJ10,gneJ14,0.994476745684681,5.55336309466545,22.34432,26,-3.65568,2
14813,-gneE11,gneJ10,gneJ14,0.995066657545551,5.66690660246338,18.53568,15,3.53568,2
15500,-gneE11,gneJ10,gneJ14,0.997583185137193,6.09083610902555,27.30368,41,-13.69632,2
15742,-gneE11,gneJ10,gneJ14,0.997580527083481,6.08973423203333,22.43136,18,4.43136,2
16222,-gneE11,gneJ10,gneJ14,0.997334303933729,5.99257188298949,16.46784,9,7.46784,2
16667,-gneE11,gneJ10,gneJ14,0.997688822505604,6.13563536507603,16.672,19,-2.328,2
16873,-gneE11,gneJ10,gneJ14,0.994701950952202,6.07732613699502,12.33664,7,5.33664,2
17772,-gneE11,gneJ10,gneJ14,0.995909029792797,6.33709540155836,12.92672,17,-4.07328,2
18300,-gneE11,gneJ10,gneJ14,0.996233573249822,6.42007664110092,12.79616,14,-1.20384,2
18946,-gneE11,gneJ10,gneJ14,0.997347212560181,6.77170965550056,23.79776,41,-17.20224,2
19570,-gneE11,gneJ10,gneJ14,0.996986336531837,6.56024359812313,17.28768,9,8.28768,2
19813,-gneE11,gneJ10,gneJ14,0.997612079936853,6.79360475330569,26.15488,40,-13.84512,2
639,-gneE8,gneJ11,gneJ10,0.5,0,40,40,0,2
719,-gneE8,gneJ11,gneJ10,0.5,0,40,40,0,2
798,-gneE8,gneJ11,gneJ10,0.5,0,38,38,0,2
959,-gneE8,gneJ11,gneJ10,0.5,0,12,12,0,2
1401,-gneE8,gneJ11,gneJ10,0.558672099396592,0.235774578841476,31.4048,38,-6.5952,2
1482,-gneE8,gneJ11,gneJ10,0.60544584849725,0.428208729256558,33.99872,41,-7.00128,2
9805,-gneE8,gneJ11,gneJ10,0.703198709229907,0.862576650563559,34.81728,39,-4.18272,2
13750,-gneE8,gneJ11,gneJ10,0.799964921023731,1.38607513193671,36.91712,41,-4.08288,2
15438,-gneE8,gneJ11,gneJ10,0.866959564721994,1.87433923087841,21.36832,1,20.36832,2
15480,-gneE8,gneJ11,gneJ10,0.923153169566383,2.48598094267124,28.43904,42,-13.56096,2
16848,-gneE8,gneJ11,gneJ10,0.947437596417902,2.89175997010351,17.78816,5,12.78816,2
19547,-gneE8,gneJ11,gneJ10,0.968510673870742,3.42611086845112,12.65984,8,4.65984,2
836,gneE9,gneJ11,gneJ12,0.5,0,234,234,0,2
878,gneE9,gneJ11,gneJ12,0.5,0,42,42,0,2
919,gneE9,gneJ11,gneJ12,0.5,0,41,41,0,2
857,-gneE9,gneJ12,gneJ11,1,0,40,40,0,1
899,-gneE9,gneJ12,gneJ11,1,0,42,42,0,1
940,-gneE9,gneJ12,gneJ11,1,0,41,41,0,1
37,gneE11,gneJ14,gneJ10,0.5,0,37,37,0,2
599,gneE11,gneJ14,gneJ10,0.5,0,85,85,0,2
679,gneE11,gneJ14,gneJ10,0.5,0,32,32,0,2
760,gneE11,gneJ14,gneJ10,0.5,0,41,41,0,2
999,gneE11,gneJ14,gneJ10,0.449576734118334,-0.202381007303262,19.4752,10,9.4752,2
1363,gneE11,gneJ14,gneJ10,0.478591386751907,0.3522620078603,154.64128,364,-209.35872,2
1441,gneE11,gneJ14,gneJ10,0.391139118874471,-0.004577653814313,107.78944,40,67.78944,2
2015,gneE11,gneJ14,gneJ10,0.208583427478975,-0.343357012066235,74.1984,27,47.1984,2
2626,gneE11,gneJ14,gneJ10,0.145652082332538,-0.543800342493172,52.608,21,31.608,2
3200,gneE11,gneJ14,gneJ10,0.094768259824499,-0.642499728165852,39.65376,21,18.65376,2
3899,gneE11,gneJ14,gneJ10,0.065447093926597,-0.220790118186767,36.0704,59,-22.9296,2
4500,gneE11,gneJ14,gneJ10,0.03636300440242,-0.282632400529429,23.59808,8,15.59808,2
4545,gneE11,gneJ14,gneJ10,0.038024558259982,-0.236226333663899,16.11904,7,9.11904,2
4783,gneE11,gneJ14,gneJ10,0.086910449685153,0.11099845697617,19.81824,27,-7.18176,2
5024,gneE11,gneJ14,gneJ10,0.140192678909091,0.24007717502977,15.23776,10,5.23776,2
5834,gneE11,gneJ14,gneJ10,0.061515901771001,0.566228080288547,16.90752,24,-7.09248,2
6281,gneE11,gneJ14,gneJ10,0.073869100726283,0.941222102250718,24.29568,36,-11.70432,2
7495,gneE11,gneJ14,gneJ10,0.026945457668234,0.986360328440728,17.95968,9,8.95968,2
