time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours
40,gneE8,gneJ10,gneJ11,0.5,0,40,40,0,2
80,gneE8,gneJ10,gneJ11,0.5,0,40,40,0,2
202,gneE8,gneJ10,gneJ11,0.504113482131424,0.016454299757529,40,41,-1,2
243,gneE8,gneJ10,gneJ11,0.497034281428017,-0.011863013410538,41,41,0,2
1239,gneE8,gneJ10,gneJ11,0.750332876507925,0.550262597765289,648.96,996,-347.04,2
1279,gneE8,gneJ10,gneJ11,0.607387025734844,-0.113783957331457,404.13184,40,364.13184,2
1320,gneE8,gneJ10,gneJ11,0.475928534668687,-0.646486174587059,257.60384,41,216.60384,2
1520,gneE8,gneJ10,gneJ11,0.252700535291797,-1.01818201016247,184.48704,78,106.48704,2
4841,gneE8,gneJ10,gneJ11,0.709758699370353,-0.163697222145946,1408.11264,3321,-1912.88736,2
4882,gneE8,gneJ10,gneJ11,0.55339166181553,-0.843525635785086,830.288,41,789.288,2
4923,gneE8,gneJ10,gneJ11,0.408509035003321,-1.42804200324032,513.32864,41,472.32864,2
283,-gneE11,gneJ10,gneJ14,0.502965718571983,0,283,283,0,2
483,-gneE11,gneJ10,gneJ14,0.36859178993617,-0.550125821054473,283,38,245,2
1480,-gneE11,gneJ10,gneJ14,0.670967688942039,0.066078851790874,38,280,-242,2
1560,-gneE11,gneJ10,gneJ14,0.621759439384175,-0.521159142579494,280,80,200,2
1601,-gneE11,gneJ10,gneJ14,0.54787595348923,-0.82608969244799,63.92192,41,22.92192,2
1641,-gneE11,gneJ10,gneJ14,0.490069402055463,-1.05790962623609,53.1712,40,13.1712,2
4962,-gneE11,gneJ10,gneJ14,0.709907044004281,-0.533109375249367,87.1936,160,-72.8064,2
5003,-gneE11,gneJ10,gneJ14,0.633878721998112,-0.879148996499647,66.22784,41,25.22784,2
5043,-gneE11,gneJ10,gneJ14,0.571056695001297,-1.14187826180744,54.46144,40,14.46144,2
60,-gneE8,gneJ11,gneJ10,0.426916277038721,-0.294443897916644,60,41,19,2
181,-gneE8,gneJ11,gneJ10,0.650806499903948,0.173203155342409,41,121,-80,2
222,-gneE8,gneJ11,gneJ10,0.542056973314308,-0.280756665182255,121,41,80,2
263,-gneE8,gneJ11,gneJ10,0.54901755390319,-0.25268099866403,41,41,0,2
1259,-gneE8,gneJ11,gneJ10,0.5613282959246,-0.202828371937915,41.31904,40,1.31904,2
1300,-gneE8,gneJ11,gneJ10,0.594679630021902,-0.066037965206188,37.42784,41,-3.57216,2
1461,-gneE8,gneJ11,gneJ10,0.783863251331248,0.320609218171173,85.58144,161,-75.41856,2
1540,-gneE8,gneJ11,gneJ10,0.718381514001987,-0.031266543542835,66.0736,40,26.0736,2
4862,-gneE8,gneJ11,gneJ10,0.659609852458677,-0.306157984508732,54.8,41,13.8,2
4902,-gneE8,gneJ11,gneJ10,0.60078850849589,-0.558962416683967,47.63584,40,7.63584,2
4942,-gneE8,gneJ11,gneJ10,0.560838389796337,-0.723148748712521,43.30624,40,3.30624,2
100,gneE9,gneJ11,gneJ12,0.573083722961279,0,100,100,0,2
141,gneE9,gneJ11,gneJ12,0.461342528872319,-0.449382997419974,100,41,59,2
1339,gneE9,gneJ11,gneJ12,0.578444543090219,0.250353374393885,41,1198,-1157,2
1380,gneE9,gneJ11,gneJ12,0.387638976690119,-0.523285547143722,1198,41,1157,2
1421,gneE9,gneJ11,gneJ12,0.288706181284698,-0.967714059590858,137.77664,41,96.77664,2
122,-gneE9,gneJ12,gneJ11,1,-0.438202663467388,122,42,80,1
161,-gneE9,gneJ12,gneJ11,1,-0.532215796289542,42,39,3,1
1360,-gneE9,gneJ12,gneJ11,1,-0.455210646093168,39,40,-1,1
1400,-gneE9,gneJ12,gneJ11,1,-0.415963188178439,40,40,0,1
1442,-gneE9,gneJ12,gneJ11,1,-0.244999245391386,38.11776,42,-3.88224,1
463,gneE11,gneJ14,gneJ10,0.364192006171765,-0.557215403217777,463,200,263,2
1219,gneE11,gneJ14,gneJ10,0.673820376859272,0.129455980255058,200,756,-556,2
1500,gneE11,gneJ14,gneJ10,0.515330108653839,-0.534719710910277,756,39,717,2
1581,gneE11,gneJ14,gneJ10,0.53360332771126,-0.461443140308306,39,41,-2,2
1622,gneE11,gneJ14,gneJ10,0.437951117030911,-0.845540898394083,74.70464,41,33.70464,2
4821,gneE11,gneJ14,gneJ10,0.684827577903724,-0.102853662942527,1300.90816,3199,-1898.09184,2
4983,gneE11,gneJ14,gneJ10,0.518254622724289,-0.805849938031978,795.73184,41,754.73184,2
5024,gneE11,gneJ14,gneJ10,0.367918969338259,-1.4200557747173,492.56384,41,451.56384,2
303,-gneE10,gneJ14,gneJ7,0.5,0,303,303,0,2
502,-gneE10,gneJ14,gneJ7,0.490290228882494,-0.596059371106811,303,76,227,2
1661,-gneE10,gneJ14,gneJ7,0.714269019365757,0.070668029806225,76,481,-405,2
1701,-gneE10,gneJ14,gneJ7,0.561278420019373,-0.599188821323222,481,40,441,2
4781,-gneE10,gneJ14,gneJ7,0.49166077356463,-0.878900897624166,76.85824,40,36.85824,2
5063,-gneE10,gneJ14,gneJ7,0.737301566673931,-0.388065517779947,132.95104,223,-90.04896,2
5104,-gneE10,gneJ14,gneJ7,0.647863990031713,-0.810392485245095,81.2096,41,40.2096,2
711,gneE1,gneJ2,gneJ3,1,-0.717651677524225,711,7,704,1
760,gneE1,gneJ2,gneJ3,1,-0.638825055823042,7,9,-2,1
805,gneE1,gneJ2,gneJ3,1,-0.706050602122046,9,7,2,1
853,gneE1,gneJ2,gneJ3,1,-0.628116930980781,7,9,-2,1
896,gneE1,gneJ2,gneJ3,1,-0.69870407863766,7.48736,8,-0.51264,1
1987,gneE1,gneJ2,gneJ3,1,-0.408962012394533,16.21248,30,-13.78752,1
2029,gneE1,gneJ2,gneJ3,1,-0.184054131664626,21.10976,29,-7.89024,1
2069,gneE1,gneJ2,gneJ3,1,-0.108999053569389,21.98592,24,-2.01408,1
2111,gneE1,gneJ2,gneJ3,1,-0.010044226537399,21.34272,21,0.34272,1
2153,gneE1,gneJ2,gneJ3,1,-0.107637623927785,19.3568,17,2.3568,1
2193,gneE1,gneJ2,gneJ3,1,-0.264991328294645,15.08096,11,4.08096,1
2236,gneE1,gneJ2,gneJ3,1,-0.395443328600883,11.34656,8,3.34656,1
2281,gneE1,gneJ2,gneJ3,1,-0.421699371279215,9.26144,8,1.26144,1
2321,gneE1,gneJ2,gneJ3,1,-0.507075120146785,6.10368,3,3.10368,1
2370,gneE1,gneJ2,gneJ3,1,-0.441621786454646,6.33344,8,-1.66656,1
2414,gneE1,gneJ2,gneJ3,1,-0.383450457634125,7.05792,9,-1.94208,1
2458,gneE1,gneJ2,gneJ3,1,-0.420641153713208,7.18592,8,-0.814080000000001,1
2502,gneE1,gneJ2,gneJ3,1,-0.464599985952372,7.26272,8,-0.737279999999999,1
2545,gneE1,gneJ2,gneJ3,1,-0.511586288773612,7.46432,8,-0.53568,1
2591,gneE1,gneJ2,gneJ3,1,-0.550935103867307,7.42976,8,-0.570239999999999,1
2634,gneE1,gneJ2,gneJ3,1,-0.57301777777768,7.37792,8,-0.62208,1
2770,gneE1,gneJ2,gneJ3,1,-0.48941393333447,8.17792,10,-1.82208,1
2813,gneE1,gneJ2,gneJ3,1,-0.673137025004149,7.85792,8,-0.142080000000001,1
2854,gneE1,gneJ2,gneJ3,1,-0.655243940830797,6.46592,5,1.46592,1
2899,gneE1,gneJ2,gneJ3,1,-0.68087479229439,6.43072,7,-0.56928,1
2945,gneE1,gneJ2,gneJ3,1,-0.606628214959245,7.2096,9,-1.7904,1
2987,gneE1,gneJ2,gneJ3,1,-0.631235865941164,7.21472,8,-0.785280000000001,1
3031,gneE1,gneJ2,gneJ3,1,-0.667373461784501,7.28,8,-0.72,1
3075,gneE1,gneJ2,gneJ3,1,-0.7216123937635,7.41248,8,-0.587520000000001,1
3121,gneE1,gneJ2,gneJ3,1,-0.774656635499607,7.42976,8,-0.570239999999999,1
3399,gneE1,gneJ2,gneJ3,1,-0.539102556979382,12.97792,22,-9.02208,1
3440,gneE1,gneJ2,gneJ3,1,-0.382931091401274,15.13792,19,-3.86208,1
3482,gneE1,gneJ2,gneJ3,1,-0.318796501123948,16.03392,18,-1.96608,1
3524,gneE1,gneJ2,gneJ3,1,-0.485622590993847,15.77152,16,-0.228480000000001,1
3565,gneE1,gneJ2,gneJ3,1,-0.343104533630249,15.21408,15,0.214079999999999,1
3692,gneE1,gneJ2,gneJ3,1,-0.50987756696799,11.64416,8,3.64416,1
3737,gneE1,gneJ2,gneJ3,1,-0.578173865163075,9.59552,8,1.59552,1
3783,gneE1,gneJ2,gneJ3,1,-0.484783643656144,8.39744,8,0.39744,1
3826,gneE1,gneJ2,gneJ3,1,-0.624736662465925,7.7408,8,-0.2592,1
3871,gneE1,gneJ2,gneJ3,1,-0.991806843917987,6.97792,7,-0.022079999999999,1
3919,gneE1,gneJ2,gneJ3,1,-0.925163630475809,7.53792,9,-1.46208,1
3962,gneE1,gneJ2,gneJ3,1,-0.630084901798295,7.07392,7,0.073919999999999,1
4008,gneE1,gneJ2,gneJ3,1,-0.593765683559905,7.59552,9,-1.40448,1
4053,gneE1,gneJ2,gneJ3,1,-0.58336747532158,7.90848,9,-1.09152,1
4098,gneE1,gneJ2,gneJ3,1,-0.719421344459217,7.72736,8,-0.272640000000001,1
4144,gneE1,gneJ2,gneJ3,1,-0.768008388303851,7.55648,8,-0.44352,1
4190,gneE1,gneJ2,gneJ3,1,-0.674867611171106,8.31616,10,-1.68384,1
4234,gneE1,gneJ2,gneJ3,1,-0.673179208264932,8.30976,9,-0.690240000000001,1
4278,gneE1,gneJ2,gneJ3,1,-0.678248115034821,8.30592,9,-0.69408,1
4321,gneE1,gneJ2,gneJ3,1,-0.919651766665238,7.93472,8,-0.065280000000001,1
4367,gneE1,gneJ2,gneJ3,1,-0.866804625364913,8.112,9,-0.888,1
4412,gneE1,gneJ2,gneJ3,1,-0.956071041134747,7.75616,8,-0.243840000000001,1
4458,gneE1,gneJ2,gneJ3,1,-0.97971260444559,7.57376,8,-0.42624,1
4502,gneE1,gneJ2,gneJ3,1,-0.985982532440049,7.46432,8,-0.53568,1
5307,gneE1,gneJ2,gneJ3,1,-0.70042551251005,12.62976,21,-8.37024,1
5347,gneE1,gneJ2,gneJ3,1,-0.564924084193391,13.69792,16,-2.30208,1
5390,gneE1,gneJ2,gneJ3,1,-0.622012338033218,13.56992,14,-0.43008,1
5430,gneE1,gneJ2,gneJ3,1,-0.661269179783808,11.89312,10,1.89312,1
5473,gneE1,gneJ2,gneJ3,1,-0.63213821145477,10.88704,10,0.887039999999999,1
5515,gneE1,gneJ2,gneJ3,1,-0.816974928009791,9.87904,10,-0.120959999999998,1
5555,gneE1,gneJ2,gneJ3,1,-0.729195773249834,8.62976,8,0.629760000000001,1
5598,gneE1,gneJ2,gneJ3,1,-0.980756181545444,7.9424,8,-0.057600000000001,1
5642,gneE1,gneJ2,gneJ3,1,-1.03834669053146,7.6544,8,-0.3456,1
5686,gneE1,gneJ2,gneJ3,1,-0.981723719841139,7.8816,9,-1.1184,1
5729,gneE1,gneJ2,gneJ3,1,-0.786350939503163,7.21792,7,0.217919999999999,1
5779,gneE1,gneJ2,gneJ3,1,-0.703690316985347,8.08192,10,-1.91808,1
5824,gneE1,gneJ2,gneJ3,1,-0.659094035477058,8.60032,10,-1.39968,1
5865,gneE1,gneJ2,gneJ3,1,-0.613969369213733,7.71136,7,0.711360000000001,1
5911,gneE1,gneJ2,gneJ3,1,-0.444132401304777,7.14688,7,0.146879999999999,1
5959,gneE1,gneJ2,gneJ3,1,-0.511859748611884,7.2704,8,-0.729600000000001,1
6006,gneE1,gneJ2,gneJ3,1,-0.510564214279454,7.6512,9,-1.3488,1
6051,gneE1,gneJ2,gneJ3,1,-0.604210199988349,7.47968,8,-0.520320000000001,1
6093,gneE1,gneJ2,gneJ3,1,-0.67655789555403,7.47008,8,-0.52992,1
6136,gneE1,gneJ2,gneJ3,1,-0.702680564735998,7.46432,8,-0.53568,1
6184,gneE1,gneJ2,gneJ3,1,-0.551209095908782,9.02976,12,-2.97024,1
6317,gneE1,gneJ2,gneJ3,1,-0.67067381797372,8.73792,9,-0.262079999999999,1
6358,gneE1,gneJ2,gneJ3,1,-0.622526251984471,7.79392,7,0.79392,1
6402,gneE1,gneJ2,gneJ3,1,-0.715202850356951,7.62752,8,-0.372479999999999,1
6448,gneE1,gneJ2,gneJ3,1,-0.703042735730357,7.92768,9,-1.07232,1
6493,gneE1,gneJ2,gneJ3,1,-0.695932776197069,7.98336,9,-1.01664,1
6535,gneE1,gneJ2,gneJ3,1,-0.785995338333831,7.71008,8,-0.289920000000002,1
6580,gneE1,gneJ2,gneJ3,1,-0.766950885997722,8.00832,9,-0.991680000000001,1
6624,gneE1,gneJ2,gneJ3,1,-0.659370437579236,7.35616,7,0.356159999999999,1
6669,gneE1,gneJ2,gneJ3,1,-0.945052447098854,6.93376,7,-0.066240000000001,1
6714,gneE1,gneJ2,gneJ3,1,-0.936002618421179,7.08032,8,-0.91968,1
6761,gneE1,gneJ2,gneJ3,1,-0.943505021846051,7.19936,8,-0.80064,1
6802,gneE1,gneJ2,gneJ3,1,-0.903808482702102,6.03968,5,1.03968,1
6848,gneE1,gneJ2,gneJ3,1,-0.851940364796093,6.60608,8,-1.39392,1
6938,gneE1,gneJ2,gneJ3,1,-0.847560011525203,6.94592,8,-1.05408,1
6981,gneE1,gneJ2,gneJ3,1,-0.984865712012557,6.71872,7,-0.281279999999999,1
7028,gneE1,gneJ2,gneJ3,1,-0.982799405176356,6.9824,8,-1.0176,1
7072,gneE1,gneJ2,gneJ3,1,-1.16923988940579,6.83392,7,-0.166079999999999,1
7117,gneE1,gneJ2,gneJ3,1,-1.1191497117311,7.45152,9,-1.54848,1
7160,gneE1,gneJ2,gneJ3,1,-1.05739045900331,8.22208,10,-1.77792,1
7203,gneE1,gneJ2,gneJ3,1,-1.1051742567065,8.31552,9,-0.68448,1
7243,gneE1,gneJ2,gneJ3,1,-1.09242932382937,7.14048,6,1.14048,1
7290,gneE1,gneJ2,gneJ3,1,-1.05958122142497,7.66656,9,-1.33344,1
7334,gneE1,gneJ2,gneJ3,1,-1.06245333826194,7.92,9,-1.08,1
7376,gneE1,gneJ2,gneJ3,1,-1.18547133203162,7.64096,8,-0.359040000000001,1
7451,gneE1,gneJ2,gneJ3,1,-0.875721319678743,19.10464,37,-17.89536,1
7491,gneE1,gneJ2,gneJ3,1,-0.674497571829441,23.27616,30,-6.72384,1
7530,gneE1,gneJ2,gneJ3,1,-0.610410203646668,24.08576,26,-1.91424,1
7570,gneE1,gneJ2,gneJ3,1,-0.599626403649775,22.97152,22,0.971519999999998,1
7611,gneE1,gneJ2,gneJ3,1,-0.676714918336385,21.13408,19,2.13408,1
7692,gneE1,gneJ2,gneJ3,1,-0.846025680181742,15.9296,11,4.9296,1
7733,gneE1,gneJ2,gneJ3,1,-1.0009284770971,11.42464,7,4.42464,1
7776,gneE1,gneJ2,gneJ3,1,-1.01964055082746,9.24608,8,1.24608,1
7909,gneE1,gneJ2,gneJ3,1,-0.730059691437063,8.06336,8,0.06336,1
7948,gneE1,gneJ2,gneJ3,1,-0.80344406374573,5.44704,3,2.44704,1
7997,gneE1,gneJ2,gneJ3,1,-0.738204615396242,6.12608,8,-1.87392,1
8038,gneE1,gneJ2,gneJ3,1,-0.636349041036018,5.45792,5,0.457920000000001,1
8089,gneE1,gneJ2,gneJ3,1,-0.559124527932357,6.62592,9,-2.37408,1
8133,gneE1,gneJ2,gneJ3,1,-0.54094763960882,7.32672,9,-1.67328,1
8176,gneE1,gneJ2,gneJ3,1,-0.652021984061448,7.50272,8,-0.497280000000002,1
8223,gneE1,gneJ2,gneJ3,1,-0.653143449239238,7.8528,9,-1.1472,1
8266,gneE1,gneJ2,gneJ3,1,-0.805483269013747,7.75616,8,-0.243840000000001,1
8314,gneE1,gneJ2,gneJ3,1,-0.794167758851154,7.97376,9,-1.02624,1
8358,gneE1,gneJ2,gneJ3,1,-0.663299357777595,7.30432,7,0.304319999999999,1
8403,gneE1,gneJ2,gneJ3,1,-0.6871648819885,7.33376,8,-0.66624,1
8450,gneE1,gneJ2,gneJ3,1,-0.638119161397718,7.72032,9,-1.27968,1
8493,gneE1,gneJ2,gneJ3,1,-0.619650660660913,7.98336,9,-1.01664,1
8537,gneE1,gneJ2,gneJ3,1,-0.731130931590477,7.71008,8,-0.289920000000002,1
8577,gneE1,gneJ2,gneJ3,1,-0.750037631685807,6.00832,4,2.00832,1
8627,gneE1,gneJ2,gneJ3,1,-0.737999906550541,6.15616,7,-0.84384,1
8672,gneE1,gneJ2,gneJ3,1,-0.694483229042061,6.61376,8,-1.38624,1
8873,gneE1,gneJ2,gneJ3,1,-0.391518856361336,15.28832,29,-13.71168,1
8914,gneE1,gneJ2,gneJ3,1,-0.19820960662323,19.72416,27,-7.27584,1
8954,gneE1,gneJ2,gneJ3,1,-0.193489307156264,20.51008,22,-1.48992,1
8993,gneE1,gneJ2,gneJ3,1,-0.355695923062623,18.08832,15,3.08832,1
9034,gneE1,gneJ2,gneJ3,1,-0.540950244411227,15.00416,11,4.00416,1
9074,gneE1,gneJ2,gneJ3,1,-0.713938055240608,10.90048,7,3.90048,1
9122,gneE1,gneJ2,gneJ3,1,-0.616557897922869,9.30048,9,0.300479999999998,1
9166,gneE1,gneJ2,gneJ3,1,-0.400778791088831,8.096,8,0.096,1
9208,gneE1,gneJ2,gneJ3,1,-0.407089143833894,7.99104,9,-1.00896,1
9250,gneE1,gneJ2,gneJ3,1,-0.293812400163717,7.25248,7,0.252479999999998,1
9296,gneE1,gneJ2,gneJ3,1,-0.315337550185101,7.73376,9,-1.26624,1
9339,gneE1,gneJ2,gneJ3,1,-0.447369924878379,7.56032,8,-0.439680000000001,1
9386,gneE1,gneJ2,gneJ3,1,-0.470421140536241,7.88736,9,-1.11264,1
9430,gneE1,gneJ2,gneJ3,1,-0.501680952282613,8.05248,9,-0.947520000000001,1
9469,gneE1,gneJ2,gneJ3,1,-0.572568045272223,6.21376,4,2.21376,1
9517,gneE1,gneJ2,gneJ3,1,-0.546772508291955,6.64832,8,-1.35168,1
9560,gneE1,gneJ2,gneJ3,1,-0.642365872315705,6.54016,7,-0.45984,1
9601,gneE1,gneJ2,gneJ3,1,-0.317939357994373,20.04416,41,-20.95584,1
9643,gneE1,gneJ2,gneJ3,1,-0.529691825865052,13.34656,4,9.34656,1
9690,gneE1,gneJ2,gneJ3,1,-0.635383555996047,11.08352,8,3.08352,1
9734,gneE1,gneJ2,gneJ3,1,-0.684957779168856,9.60128,8,1.60128,1
9779,gneE1,gneJ2,gneJ3,1,-0.667041351985387,8.74304,8,0.743040000000001,1
9825,gneE1,gneJ2,gneJ3,1,-0.646952176896218,7.57056,9,-1.42944,1
9870,gneE1,gneJ2,gneJ3,1,-0.751126480914827,7.61792,8,-0.382080000000002,1
9914,gneE1,gneJ2,gneJ3,1,-0.740930981395698,7.92192,9,-1.07808,1
9956,gneE1,gneJ2,gneJ3,1,-0.851059167741411,7.70432,8,-0.295680000000001,1
10002,gneE1,gneJ2,gneJ3,1,-0.821611316949449,7.97376,9,-1.02624,1
10046,gneE1,gneJ2,gneJ3,1,-0.702583451519848,7.30432,7,0.304319999999999,1
10095,gneE1,gneJ2,gneJ3,1,-0.659644465319788,8.13376,10,-1.86624,1
10137,gneE1,gneJ2,gneJ3,1,-0.587909827495858,7.40032,7,0.40032,1
10183,gneE1,gneJ2,gneJ3,1,-0.673426200666463,7.39136,8,-0.608640000000001,1
10226,gneE1,gneJ2,gneJ3,1,-0.987201584075456,6.95488,7,-0.04512,1
10348,gneE1,gneJ2,gneJ3,1,-0.639756573875867,19.1552,38,-18.8448,1
10391,gneE1,gneJ2,gneJ3,1,-0.362763563342653,25.58208,36,-10.41792,1
10432,gneE1,gneJ2,gneJ3,1,-0.197935410515456,27.93152,32,-4.06848,1
10473,gneE1,gneJ2,gneJ3,1,-0.315346890109261,27.71008,28,-0.289919999999999,1
10514,gneE1,gneJ2,gneJ3,1,-0.123690091173711,27.20832,27,0.20832,1
10554,gneE1,gneJ2,gneJ3,1,-0.093736470202413,24.74304,24,0.743040000000001,1
10595,gneE1,gneJ2,gneJ3,1,-0.11871460042169,22.12608,21,1.12608,1
10635,gneE1,gneJ2,gneJ3,1,-0.174093854445198,19.48032,18,1.48032,1
10676,gneE1,gneJ2,gneJ3,1,-0.281012998208626,16.41728,14,2.41728,1
10715,gneE1,gneJ2,gneJ3,1,-0.429262053223382,12.61056,9,3.61056,1
10757,gneE1,gneJ2,gneJ3,1,-0.523379871366722,9.21984,6,3.21984,1
10804,gneE1,gneJ2,gneJ3,1,-0.259782867549006,8.07872,8,0.078720000000001,1
10848,gneE1,gneJ2,gneJ3,1,-0.355584276901511,7.48736,8,-0.51264,1
10891,gneE1,gneJ2,gneJ3,1,-0.574287593840553,6.85696,7,-0.14304,1
10937,gneE1,gneJ2,gneJ3,1,-0.53524209751378,7.43424,9,-1.56576,1
10981,gneE1,gneJ2,gneJ3,1,-0.283559052394052,7.07392,7,0.073919999999999,1
11029,gneE1,gneJ2,gneJ3,1,-0.281495097237865,7.59552,9,-1.40448,1
11074,gneE1,gneJ2,gneJ3,1,-0.259840809320438,8.30848,10,-1.69152,1
11117,gneE1,gneJ2,gneJ3,1,-0.199262650148146,9.16736,11,-1.83264,1
11158,gneE1,gneJ2,gneJ3,1,-0.24755272779226,9.22048,10,-0.77952,1
11203,gneE1,gneJ2,gneJ3,1,-0.213870378814984,8.51456,8,0.514560000000001,1
11243,gneE1,gneJ2,gneJ3,1,-0.172044750699443,7.6288,7,0.6288,1
11290,gneE1,gneJ2,gneJ3,1,-0.189257289134757,7.86624,9,-1.13376,1
11335,gneE1,gneJ2,gneJ3,1,-0.179367525116167,8.3776,10,-1.6224,1
11380,gneE1,gneJ2,gneJ3,1,-0.193727730685436,8.71552,10,-1.28448,1
11423,gneE1,gneJ2,gneJ3,1,-0.316823764341216,8.58048,9,-0.41952,1
11467,gneE1,gneJ2,gneJ3,1,-0.179423302541879,8.13056,8,0.130560000000001,1
11744,gneE1,gneJ2,gneJ3,1,-0.008672308012557,13.7984,23,-9.2016,1
11785,gneE1,gneJ2,gneJ3,1,0.111732551640884,16.768,22,-5.232,1
11824,gneE1,gneJ2,gneJ3,1,0.252334742926207,16.14976,16,0.149760000000001,1
11865,gneE1,gneJ2,gneJ3,1,0.109401422562654,14.20992,12,2.20992,1
11907,gneE1,gneJ2,gneJ3,1,-0.071156303762114,11.47712,8,3.47712,1
11949,gneE1,gneJ2,gneJ3,1,-0.145238104808177,9.37088,8,1.37088,1
12035,gneE1,gneJ2,gneJ3,1,-0.143687973287688,7.73824,7,0.738239999999999,1
12079,gneE1,gneJ2,gneJ3,1,-0.214843919795705,7.34528,8,-0.65472,1
12124,gneE1,gneJ2,gneJ3,1,-0.204188651255504,7.63392,9,-1.36608,1
12168,gneE1,gneJ2,gneJ3,1,-0.21848826755632,7.93152,9,-1.06848,1
12210,gneE1,gneJ2,gneJ3,1,-0.121438496157083,7.31008,7,0.310079999999999,1
